5760 5760
{'x1': 125.0, 'x2': 372.0, 'y1': 1.0, 'y2': 460.0} {'x1': 119.999744, 'x2': 372.999936, 'y1': 8.99993600000002, 'y2': 485.00019199999997}
{'x1': 118.0, 'x2': 364.0, 'y1': 2.0, 'y2': 464.0} {'x1': 115.00006400000001, 'x2': 363.000064, 'y1': 15.999743999999993, 'y2': 462.99980800000003}
{'x1': 104.0, 'x2': 347.0, 'y1': 9.0, 'y2': 470.0} {'x1': 94.999808, 'x2': 349.999872, 'y1': 15.999743999999993, 'y2': 476.99993600000005}
{'x1': 88.0, 'x2': 331.0, 'y1': 14.0, 'y2': 471.0} {'x1': 84.0, 'x2': 332.0, 'y1': 0.0, 'y2': 510.000128}
{'x1': 79.0, 'x2': 321.0, 'y1': 13.0, 'y2': 469.0} {'x1': 76.99968, 'x2': 328.999936, 'y1': 13.999871999999982, 'y2': 500.0}
{'x1': 74.0, 'x2': 316.0, 'y1': 11.0, 'y2': 468.0} {'x1': 65.000192, 'x2': 322.000128, 'y1': 16.99993599999999, 'y2': 470.000128}
{'x1': 74.0, 'x2': 316.0, 'y1': 12.0, 'y2': 468.0} {'x1': 63.99974399999999, 'x2': 318.99980800000003, 'y1': 21.999616000000003, 'y2': 465.999872}
{'x1': 79.0, 'x2': 320.0, 'y1': 11.0, 'y2': 468.0} {'x1': 73.00019199999998, 'x2': 323.000064, 'y1': 7.999743999999993, 'y2': 479.99974399999996}
{'x1': 88.0, 'x2': 330.0, 'y1': 12.0, 'y2': 469.0} {'x1': 87.000064, 'x2': 328.999936, 'y1': 20.99993600000002, 'y2': 487.99974399999996}
{'x1': 100.0, 'x2': 342.0, 'y1': 14.0, 'y2': 471.0} {'x1': 99.000064, 'x2': 341.999872, 'y1': 17.999871999999982, 'y2': 472.999936}
{'x1': 100.0, 'x2': 342.0, 'y1': 13.0, 'y2': 471.0} {'x1': 96.00000000000001, 'x2': 339.999744, 'y1': 15.000064000000009, 'y2': 479.000064}
{'x1': 99.0, 'x2': 341.0, 'y1': 14.0, 'y2': 471.0} {'x1': 90.999808, 'x2': 337.999872, 'y1': 1.0001919999999984, 'y2': 512.000256}
{'x1': 100.0, 'x2': 341.0, 'y1': 13.0, 'y2': 471.0} {'x1': 93.99987200000001, 'x2': 334.99980800000003, 'y1': 11.000320000000016, 'y2': 493.00019199999997}
